roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p07_r0229,48,56,60,68,1.0,2.168504021777111e-06,0.020101453101042423
sio2 all 20 dish white_p07_r0230,48,56,64,72,1.0,2.4048395915317003e-06,0.020475127973950034
sio2 all 20 dish white_p07_r0231,48,56,68,76,1.0,1.5241510582063758e-06,0.020564794722835577
sio2 all 20 dish white_p07_r0232,48,56,72,80,1.0,1.3562803022241048e-06,0.020481855902448623
sio2 all 20 dish white_p07_r0233,52,60,8,16,1.0,4.054273993916481e-06,0.02715501671162818
sio2 all 20 dish white_p07_r0234,52,60,12,20,1.0,2.5369036289544726e-06,0.026399271172424122
sio2 all 20 dish white_p07_r0235,52,60,16,24,1.0,3.247169503634424e-06,0.025387599432594457
sio2 all 20 dish white_p07_r0236,52,60,20,28,1.0,2.7877765152976858e-06,0.02431357761776415
sio2 all 20 dish white_p07_r0237,52,60,24,32,1.0,2.486231883032091e-06,0.023425648681406334
sio2 all 20 dish white_p07_r0238,52,60,28,36,1.0,2.057656628660443e-06,0.02253586479431797
sio2 all 20 dish white_p07_r0239,52,60,32,40,1.0,1.94289266900426e-06,0.02219257965475688
sio2 all 20 dish white_p07_r0240,52,60,36,44,1.0,1.911909757545064e-06,0.021926224995550175
sio2 all 20 dish white_p07_r0241,52,60,40,48,1.0,1.913971361513765e-06,0.021418524554412503
sio2 all 20 dish white_p07_r0242,52,60,44,52,1.0,1.6553840732399598e-06,0.020978809516078733
sio2 all 20 dish white_p07_r0243,52,60,48,56,1.0,1.7343846281512343e-06,0.02073542557370624
sio2 all 20 dish white_p07_r0244,52,60,52,60,1.0,1.8293317562573574e-06,0.02061289054808343
sio2 all 20 dish white_p07_r0245,52,60,56,64,1.0,1.7413639805017736e-06,0.02039477525322682
sio2 all 20 dish white_p07_r0246,52,60,60,68,1.0,2.1061820531103814e-06,0.02044699147857734
sio2 all 20 dish white_p07_r0247,52,60,64,72,1.0,2.2868476974312575e-06,0.020763655053615233
sio2 all 20 dish white_p07_r0248,52,60,68,76,1.0,1.5621815657139912e-06,0.020744579271739342
sio2 all 20 dish white_p07_r0249,52,60,72,80,1.0,1.5034425378041175e-06,0.020702243327974552
sio2 all 20 dish white_p07_r0250,56,64,8,16,1.0,6.258403389598072e-06,0.02836168079867182
sio2 all 20 dish white_p07_r0251,56,64,12,20,1.0,3.346165410193008e-06,0.027340131048893462
